family,forest,season,abundance
Acaulosporaceae,RP,Dry,19.29802854
Acaulosporaceae,RP,Wet,24.55063089
Archaeosporaceae,RP,Dry,0.931002465
Archaeosporaceae,RP,Wet,0.070578446
Claroideoglomeraceae,RP,Dry,19.9827156
Claroideoglomeraceae,RP,Wet,1.576311477
Diversisporaceae,RP,Dry,0.049550811
Diversisporaceae,RP,Wet,0.848204713
Gigasporaceae,RP,Dry,1.34433505
Gigasporaceae,RP,Wet,0.011930564
Glomeraceae,RP,Dry,357.9931479
Glomeraceae,RP,Wet,372.8841231
Paraglomeraceae,RP,Dry,0.401219667
Paraglomeraceae,RP,Wet,0.058220798
Acaulosporaceae,NR,Dry,1.510170359
Acaulosporaceae,NR,Wet,9.083667504
Archaeosporaceae,NR,Dry,0.124965714
Archaeosporaceae,NR,Wet,0.012633509
Claroideoglomeraceae,NR,Dry,0
Claroideoglomeraceae,NR,Wet,2.038122511
Diversisporaceae,NR,Dry,0
Diversisporaceae,NR,Wet,0
Gigasporaceae,NR,Dry,0
Gigasporaceae,NR,Wet,0
Glomeraceae,NR,Dry,398.3648639
Glomeraceae,NR,Wet,388.8655765
Paraglomeraceae,NR,Dry,0
Paraglomeraceae,NR,Wet,0
Acaulosporaceae,RM,Dry,3.260753263
Acaulosporaceae,RM,Wet,34.93971323
Archaeosporaceae,RM,Dry,0.95700869
Archaeosporaceae,RM,Wet,0.026859961
Claroideoglomeraceae,RM,Dry,10.72619304
Claroideoglomeraceae,RM,Wet,25.21863737
Diversisporaceae,RM,Dry,0
Diversisporaceae,RM,Wet,0.060706625
Gigasporaceae,RM,Dry,0
Gigasporaceae,RM,Wet,0
Glomeraceae,RM,Dry,384.7941003
Glomeraceae,RM,Wet,339.7022867
Paraglomeraceae,RM,Dry,0.261944717
Paraglomeraceae,RM,Wet,0.051796116
Acaulosporaceae,SF,Dry,25.4810293
Acaulosporaceae,SF,Wet,4.45865782
Archaeosporaceae,SF,Dry,0.013373454
Archaeosporaceae,SF,Wet,0.012224939
Claroideoglomeraceae,SF,Dry,3.552149104
Claroideoglomeraceae,SF,Wet,1.357446056
Diversisporaceae,SF,Dry,0.152417902
Diversisporaceae,SF,Wet,1.221745885
Gigasporaceae,SF,Dry,0.21174635
Gigasporaceae,SF,Wet,0.00228274
Glomeraceae,SF,Dry,369.6790094
Glomeraceae,SF,Wet,392.6571865
Paraglomeraceae,SF,Dry,0.910274524
Paraglomeraceae,SF,Wet,0.290456015
