VT,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
VTX00124,20767,7492,0,2603,1319,12609,4393,17755,5197,15291,5298,2344,0,173,691,1102,2971,5778,11976,963,8560,4695,4393,11688,6197,8884,2943,7678,0,0,4211,0
VTX00089,4348,10877,22033,21037,2315,9,8705,4504,3147,458,6106,11290,0,3881,4092,918,7985,4890,4351,6800,534,5668,5718,981,1665,4538,3775,5083,2418,0,8825,1532
VTX00080,0,111,1130,419,1120,7206,1422,2620,2209,126,3846,4230,1823,2556,5238,94,2,3453,1263,1607,5478,10954,6278,3745,4065,1915,2566,3835,1,0,3320,1
VTX00093,3151,665,0,6,0,136,2177,4204,4880,1271,1166,0,7513,0,4411,7817,2377,2040,323,4335,2785,0,3388,433,3723,4463,3911,6432,1806,26,2899,2500
VTX00370,4041,0,0,3315,3716,4604,1367,2435,1683,654,3228,7405,1981,1,1558,1802,2288,688,1,3759,5342,6333,5020,5136,1635,1594,0,2167,0,0,1969,0
VTX00383,0,1661,0,674,1350,1762,2026,1569,2782,2210,1283,1835,0,218,0,0,0,1906,1448,710,3949,1169,2111,3747,588,218,141,3063,0,0,562,0
VTX00436,1861,1062,6429,218,0,0,0,0,928,0,632,2812,0,0,0,0,784,3698,1143,1548,0,0,0,0,4331,0,0,0,0,0,1029,1
VTX00096,56,0,0,509,0,0,1336,18,3,256,323,0,1135,0,1587,1695,1476,1934,769,2190,13,0,417,4,1265,15,440,2752,399,0,2184,629
VTX00126,0,5830,0,649,6981,100,175,95,0,282,0,2103,0,0,0,0,0,2429,304,955,58,151,765,5,0,148,4,0,0,0,0,0
VTX00076,0,0,0,0,340,1516,0,297,0,2447,7768,0,455,0,270,0,0,0,0,255,0,2109,1857,0,0,0,0,1006,0,0,2459,0
VTX00227,0,1185,0,0,0,352,0,44,6341,0,146,450,7694,0,1086,0,0,0,0,569,0,0,0,0,400,0,0,0,0,0,514,1082
VTX00369,0,0,0,0,5680,511,1203,918,0,0,0,395,0,0,0,0,0,0,0,0,4550,801,0,3001,1930,0,0,0,0,0,0,0
VTX00064,0,0,0,0,0,0,0,0,0,0,0,0,1314,1587,0,44,0,0,0,0,0,0,0,0,0,0,0,0,4656,7888,0,2655
VTX00270,0,0,3,0,624,213,0,0,0,6059,931,0,0,0,540,258,704,0,0,0,1626,1,819,0,0,585,0,2178,0,367,1753,1270
VTX00253,0,73,44,884,3985,25,251,191,0,221,8,1360,2,1128,0,0,1903,15,7,8,36,0,1444,4,2,5676,0,33,0,0,0,0
VTX00084,0,0,0,0,6326,938,3425,0,0,900,0,265,0,0,0,0,0,0,0,0,402,0,1667,1475,0,6,0,0,0,0,370,0
VTX00024,0,3,0,0,0,142,0,0,15,0,0,1,11,0,146,236,0,0,3307,647,0,869,847,1548,5695,0,1876,0,0,0,0,2
VTX00214,0,0,0,91,0,0,0,0,0,0,0,0,330,2,203,364,32,105,39,0,0,0,0,0,19,0,0,0,539,10748,2,2299
VTX00082,0,158,220,461,130,4882,467,670,0,39,208,151,1695,326,28,0,0,831,336,362,269,672,90,350,586,932,1,564,0,0,0,316
VTX00057,0,0,0,2281,0,0,0,0,2357,0,169,0,0,393,70,234,2173,1145,1672,2581,0,0,0,0,0,0,0,0,452,0,0,0
VTX00212,0,0,0,0,0,0,0,0,0,0,0,0,3,7422,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,11,936,4668
VTX00166,0,0,0,0,0,0,0,0,0,0,1520,0,4008,0,3726,3149,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0
VTX00070,0,0,0,0,1477,528,8084,0,0,0,0,140,401,0,0,0,0,0,0,0,0,1038,0,0,337,721,0,0,0,0,0,0
VTX00384,0,0,0,0,0,0,0,0,0,0,29,0,2,1979,3372,1021,0,0,0,0,0,0,0,0,546,1343,1,0,0,4,0,2521
VTX00130,0,1,0,0,0,0,0,0,720,0,0,0,0,0,0,1992,0,0,458,1,0,0,0,0,0,0,0,0,6237,0,0,1271
VTX00209,0,7,0,2,0,0,0,0,0,0,1,0,1219,1581,1097,2001,0,0,0,0,0,0,0,0,9,26,0,0,3723,211,0,755
VTX00111,0,0,0,0,0,0,0,0,408,0,1,0,0,9,0,190,0,4,0,2,9,0,12,40,524,1311,7782,0,0,0,0,0
VTX00206,0,0,0,0,0,0,0,0,0,0,431,0,1776,0,898,3,294,0,0,0,0,0,0,0,0,0,0,0,338,5390,480,0
VTX00069,0,0,3628,2,2,1,0,0,0,12,411,3,0,0,0,848,475,0,3486,0,0,0,0,0,0,1,0,0,0,0,1,713
VTX00092,787,0,0,0,0,0,0,0,149,0,6,0,0,1569,490,190,0,719,0,2003,76,339,0,2,762,150,1124,0,10,1013,0,0
