VT,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
VTX00001,17,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
VTX00004,245,111,0,51,0,3,15,36,51,11,345,10,0,0,6,0,7,0,3,1,0,1,4,1,6,1,12,11,0,0,2,0
VTX00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
VTX00024,0,3,0,0,0,186,0,0,15,0,0,1,12,0,170,286,0,0,3751,877,0,1138,1119,1964,6523,0,2175,0,0,0,2,2
VTX00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8277,330,391,0,0,0,0,0,0,0,1004,0,0,0,0,0
VTX00039,0,0,0,0,0,0,0,0,0,0,624,0,0,0,95,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
VTX00053,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
VTX00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0
VTX00057,0,0,0,2626,0,0,0,0,2393,0,215,0,0,492,90,280,2450,1318,1842,3474,0,0,0,0,0,0,0,0,575,0,0,0
VTX00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,208,0
VTX00063,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,2057,0,0,0,0,0,0,0,0,0,0,0,4,1664,254,1866
VTX00064,0,0,0,0,0,0,0,0,0,0,0,0,1621,2038,0,53,0,0,0,0,0,0,0,0,0,0,0,0,5851,9611,0,3231
VTX00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,24
VTX00069,0,0,3629,2,2,2,0,0,0,17,523,4,0,0,0,1033,524,0,3903,0,0,0,0,0,0,1,0,0,0,0,1,873
VTX00070,0,0,0,0,1640,674,9367,0,0,0,0,178,480,0,0,0,0,0,0,0,0,1409,0,0,371,1009,0,0,0,0,0,0
VTX00072,0,0,1642,0,0,0,0,0,0,0,0,0,0,0,0,1089,0,0,1247,1545,0,0,0,0,0,0,0,0,0,1246,0,670
VTX00074,0,0,0,0,0,4,0,0,0,0,28,1,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VTX00076,0,0,0,0,370,1983,0,352,0,2986,10012,0,576,0,347,0,0,0,0,344,0,2796,2461,0,0,0,0,1205,0,0,2788,0
VTX00077,0,0,0,0,0,0,0,0,0,0,0,0,269,701,398,470,0,10,0,26,0,0,0,0,4,20,0,14,154,284,22,67
VTX00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
VTX00080,0,113,1131,469,1249,9383,1672,3192,2248,155,4997,4989,2226,3272,6517,103,2,4133,1404,2227,6916,14671,8369,4640,4658,2636,2961,4610,1,0,3734,1
VTX00082,0,165,220,534,139,6371,543,796,0,53,283,177,2035,398,36,0,0,979,392,503,347,911,117,432,680,1304,1,696,0,0,0,389
VTX00084,0,0,0,0,6981,1191,3992,0,0,1107,0,310,0,0,0,0,0,0,0,0,512,1,2292,1843,0,7,0,0,0,0,442,0
