plot,Plot_ID,forest_types,season,TC,TN,TP,pH,CN,CP,NP,restoration
SB01,SB01,RM,Dry,20.98,2.08,2.7475,5.346666667,10.08653846,7.636032757,0.757051865,Monoculture
SB02,SB02,RM,Dry,16.85,1.71,2.4934,5.22,9.85380117,6.757840699,0.68581054,Monoculture
SB03,SB03,RM,Dry,19,1.95,2.68245,5.433333333,9.743589744,7.083077038,0.72694738,Monoculture
SB04,SB04,RM,Dry,19.42,1.98,1.1174,5.073333333,9.808080808,17.37963129,1.771970646,Monoculture
SB05,SB05,NR,Dry,26.82,2.49,0.63905,4.21,10.77108434,41.96854706,3.896408732,Restored forest
SB06,SB06,NR,Dry,25.73,2.45,0.55065,4.3,10.50204082,46.72659584,4.449287206,Restored forest
SB07,SB07,NR,Dry,22.78,2.25,0.5507,4.443333333,10.12444444,41.36553477,4.085709098,Restored forest
SB08,SB08,NR,Dry,21.43,2.06,0.52565,4.476666667,10.40291262,40.76857224,3.918957481,Restored forest
SB09,SB09,RP,Dry,20.04,1.97,0.51615,4.823333333,10.17258883,38.8259227,3.816719946,Restored forest
SB10,SB10,RP,Dry,22.07,2.14,0.5012,4.813333333,10.31308411,44.03431764,4.269752594,Restored forest
SB11,SB11,RP,Dry,21.76,2.05,0.48735,4.853333333,10.61463415,44.64963579,4.206422489,Restored forest
SB12,SB12,RP,Dry,22.18,2.15,0.5534,4.626666667,10.31627907,40.07950849,3.885074087,Restored forest
SB13,SB13,MF,Dry,28.04,2.91,0.5943,5.563333333,9.635738832,47.18155814,4.896516911,Rainforest
SB14,SB14,MF,Dry,28.83,2.81,0.5519,5.846666667,10.25978648,52.23772423,5.091502084,Rainforest
SB15,SB15,MF,Dry,22.94,2.62,0.5901,5.11,8.755725191,38.87476699,4.439925436,Rainforest
SB16,SB16,MF,Dry,31.77,3.33,0.68995,5.81,9.540540541,46.04681499,4.826436698,Rainforest
XS01,SB01,RM,Wet,16.66,1.78,1.23,5.52,9.359550562,13.54471545,1.447154472,Monoculture
XS02,SB02,RM,Wet,18.53,1.85,1.15,4.93,10.01621622,16.11304348,1.608695652,Monoculture
XS03,SB03,RM,Wet,21.74,2.17,1.18,5.28666,10.01843318,18.42372881,1.838983051,Monoculture
XS04,SB04,RM,Wet,20.87,2,0.749,5.03,10.435,27.86381842,2.670226969,Monoculture
XS05,SB05,NR,Wet,24.13,2.44,0.531,4.26,9.889344262,45.44256121,4.595103578,Restored forest
XS06,SB06,NR,Wet,24.34,2.4,0.478,4.13,10.14166667,50.92050209,5.020920502,Restored forest
XS07,SB07,NR,Wet,20.83,2.08,0.517,4.25,10.01442308,40.2901354,4.023210832,Restored forest
XS08,SB08,NR,Wet,20.63,2.09,0.456,4.22,9.870813397,45.24122807,4.583333333,Restored forest
XS09,SB09,RP,Wet,21.01,2.04,0.439,4.72,10.29901961,47.85876993,4.646924829,Restored forest
XS10,SB10,RP,Wet,21.99,2.13,0.446,4.78666,10.32394366,49.30493274,4.775784753,Restored forest
XS11,SB11,RP,Wet,22.26,2.18,0.466,4.8,10.21100917,47.76824034,4.678111588,Restored forest
XS12,SB12,RP,Wet,19.4,2.09,0.483,4.7,9.282296651,40.16563147,4.327122153,Restored forest
XS13,SB13,MF,Wet,34.24,3.53,0.703,5.95,9.699716714,48.70554765,5.021337127,Rainforest
XS14,SB14,MF,Wet,31.67,3.21,0.538,6.61,9.866043614,58.866171,5.966542751,Rainforest
XS15,SB15,MF,Wet,23.78,2.76,0.622,5.32,8.615942029,38.23151125,4.437299035,Rainforest
XS16,SB16,MF,Wet,41.14,3.97,0.71,6.49,10.3627204,57.94366197,5.591549296,Rainforest
