Name,Latitude,Longitude
SB01,21.906349,101.269831
SB02,21.905526,101.270575
SB03,21.90423,101.26851
SB04,21.90463,101.269457
SB05,21.923738,101.270714
SB06,21.923485,101.270348
SB07,21.924262,101.269412
SB08,21.923322,101.269054
SB09,21.922768,101.268
SB10,21.92332,101.267932
SB11,21.923839,101.267795
SB12,21.923953,101.268272
SB13,21.91871,101.27282
SB14,21.91849,101.2738
SB15,21.91809,101.27505
SB16,21.91677,101.27513
XS01,21.906349,101.269831
XS02,21.905526,101.270575
XS03,21.90423,101.26851
XS04,21.90463,101.269457
XS05,21.923738,101.270714
XS06,21.923485,101.270348
XS07,21.924262,101.269412
XS08,21.923322,101.269054
XS09,21.922768,101.268
XS10,21.92332,101.267932
XS11,21.923839,101.267795
XS12,21.923953,101.268272
XS13,21.91871,101.27282
XS14,21.91849,101.2738
XS15,21.91809,101.27505
XS16,21.91677,101.27513
