OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00004,135,99,43,160,543,661,2703,4147,261,608,182,462,169,81,446,110,368,304,435,184,1662,2027,1067,1236,1014,466,311,23,74,43,458,22
CL00015,20,0,0,0,48,286,0,2513,72,255,19,410,107,99,28,247,122,15,11,0,316,485,4,534,363,181,299,49,233,212,37,118
CL00022,12,23,53,49,47,465,14,313,37,488,17,9,0,18,1989,11,112,32,129,61,331,674,455,108,220,9,56,2,12,5,553,29
CL00026,0,0,39,2,90,18,474,421,49,42,22,84,326,206,129,62,97,7,0,12,168,540,916,250,278,161,514,762,78,34,292,35
CL00041,0,0,0,0,0,0,15,0,0,0,17,0,971,611,116,640,0,0,0,0,0,0,85,0,0,42,36,0,559,332,195,778
CL00045,12,57,0,24,2,0,0,0,16,109,3,34,35,794,220,936,127,57,14,4,0,1,0,0,165,0,29,49,227,562,409,134
CL00047,32,14,93,27,16,32,201,34,21,71,25,23,175,843,135,486,52,20,41,8,53,40,92,38,39,41,27,66,314,422,213,143
CL00055,13,19,5,43,0,0,0,0,0,0,0,0,236,1118,64,504,6,24,40,83,0,0,0,0,0,0,4,0,345,447,97,88
CL00059,142,77,0,0,21,3,133,0,4,1154,15,0,280,187,56,359,50,41,4,0,0,3,77,3,8,3,0,63,231,1,0,153
CL00064,253,276,332,541,28,180,352,161,46,394,37,107,0,0,0,0,12,93,34,16,78,171,0,0,10,44,9,0,0,0,0,0
CL00067,69,33,317,86,10,59,7,68,25,11,18,61,0,83,10,55,455,100,191,128,127,63,48,35,276,55,134,0,336,199,31,92
CL00070,53,28,40,47,15,13,12,32,19,30,42,24,51,70,27,168,399,43,76,78,139,233,226,161,109,41,80,42,154,187,51,120
CL00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,10,0,0,0,0,0,0,0,2369,0,0
CL00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2245,0,0
CL00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2621
CL00086,0,0,0,0,0,0,0,0,3,0,0,0,33,127,189,974,0,0,0,0,0,0,0,2,3,8,2,1,35,25,192,625
CL00101,0,0,0,0,0,0,0,0,0,0,5,0,206,51,323,67,0,0,0,0,0,0,0,0,0,36,1,0,0,92,1235,60
CL00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2282
CL00121,0,0,0,1,42,248,10,7,42,135,2,6,0,1,9,0,1,0,3,1,411,255,138,70,76,0,26,1,0,0,3,1
CL00125,0,5,0,23,0,0,0,0,1,2,1049,4,0,0,1,13,16,4,46,9,16,6,0,0,2,5,0,0,0,1,0,0
CL00127,0,0,7,1,0,3,0,0,0,9,3,0,65,238,62,68,5,0,2,2,0,0,0,0,0,0,0,5,281,426,99,51
CL00131,6,24,70,22,16,80,64,116,12,16,4,23,3,0,3,0,8,27,13,4,227,402,107,108,9,5,3,4,0,0,2,0
CL00135,0,8,13,15,2,9,1,26,14,89,6,29,0,1,2,0,255,78,229,98,23,111,82,71,82,28,75,131,0,0,10,0
CL00136,0,0,0,0,0,0,0,0,0,0,2,0,56,513,48,79,0,0,0,1,0,0,0,0,0,21,0,0,11,258,193,51
CL00141,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,794,0,0,231,0,28,0,0,62,44,0,0,0,0
CL00143,0,0,8,9,8,433,5,27,4,67,0,9,0,0,0,0,25,36,15,15,205,73,41,89,48,24,16,123,0,0,0,0
CL00145,0,0,0,0,0,0,0,0,0,0,0,0,14,200,35,257,0,0,0,0,0,0,0,0,0,0,0,0,422,126,93,76
CL00148,24,66,0,105,5,4,79,19,12,24,4,9,0,14,61,0,374,69,105,94,30,35,54,27,12,3,0,0,0,11,125,4
CL00152,0,0,0,0,0,0,0,0,1,0,2,0,26,4,0,7,0,0,17,0,41,10,12,1,0,0,1,7,8,1020,0,0
