Plot,Forest,Season,Category,Abundance,Relative_abundance,TC,TN,TP,pH,CN,CP,NP,restoration
RM1,RM,Dry,Litter saprotroph,299,0.871720117,20.98,2.08,2.7475,5.346666667,10.08653846,7.636032757,0.757051865,Monoculture
RM2,RM,Dry,Litter saprotroph,222,0.647230321,16.85,1.71,2.4934,5.22,9.85380117,6.757840699,0.68581054,Monoculture
RM3,RM,Dry,Litter saprotroph,392,1.142857143,19,1.95,2.68245,5.433333333,9.743589744,7.083077038,0.72694738,Monoculture
RM4,RM,Dry,Litter saprotroph,462,1.346938776,19.42,1.98,1.1174,5.073333333,9.808080808,17.37963129,1.771970646,Monoculture
NR1,NR,Dry,Litter saprotroph,77,0.224489796,26.82,2.49,0.63905,4.21,10.77108434,41.96854706,3.896408732,Restored forest
NR2,NR,Dry,Litter saprotroph,200,0.583090379,25.73,2.45,0.55065,4.3,10.50204082,46.72659584,4.449287206,Restored forest
NR3,NR,Dry,Litter saprotroph,417,1.21574344,22.78,2.25,0.5507,4.443333333,10.12444444,41.36553477,4.085709098,Restored forest
NR4,NR,Dry,Litter saprotroph,156,0.454810496,21.43,2.06,0.52565,4.476666667,10.40291262,40.76857224,3.918957481,Restored forest
RP1,RP,Dry,Litter saprotroph,85,0.247813411,20.04,1.97,0.51615,4.823333333,10.17258883,38.8259227,3.816719946,Restored forest
RP2,RP,Dry,Litter saprotroph,970,2.827988338,22.07,2.14,0.5012,4.813333333,10.31308411,44.03431764,4.269752594,Restored forest
RP3,RP,Dry,Litter saprotroph,323,0.941690962,21.76,2.05,0.48735,4.853333333,10.61463415,44.64963579,4.206422489,Restored forest
RP4,RP,Dry,Litter saprotroph,171,0.498542274,22.18,2.15,0.5534,4.626666667,10.31627907,40.07950849,3.885074087,Restored forest
MF1,MF,Dry,Litter saprotroph,7024,20.47813411,28.04,2.91,0.5943,5.563333333,9.635738832,47.18155814,4.896516911,Rainforest
MF2,MF,Dry,Litter saprotroph,2673,7.793002915,28.83,2.81,0.5519,5.846666667,10.25978648,52.23772423,5.091502084,Rainforest
MF3,MF,Dry,Litter saprotroph,948,2.763848397,22.94,2.62,0.5901,5.11,8.755725191,38.87476699,4.439925436,Rainforest
MF4,MF,Dry,Litter saprotroph,1730,5.043731778,31.77,3.33,0.68995,5.81,9.540540541,46.04681499,4.826436698,Rainforest
RM1,RM,Wet,Litter saprotroph,2020,5.889212828,16.66,1.78,1.23,5.52,9.359550562,13.54471545,1.447154472,Monoculture
RM2,RM,Wet,Litter saprotroph,448,1.306122449,18.53,1.85,1.15,4.93,10.01621622,16.11304348,1.608695652,Monoculture
RM3,RM,Wet,Litter saprotroph,457,1.332361516,21.74,2.17,1.18,5.28666,10.01843318,18.42372881,1.838983051,Monoculture
RM4,RM,Wet,Litter saprotroph,1051,3.064139942,20.87,2,0.749,5.03,10.435,27.86381842,2.670226969,Monoculture
NR1,NR,Wet,Litter saprotroph,833,2.428571429,24.13,2.44,0.531,4.26,9.889344262,45.44256121,4.595103578,Restored forest
NR2,NR,Wet,Litter saprotroph,486,1.416909621,24.34,2.4,0.478,4.13,10.14166667,50.92050209,5.020920502,Restored forest
NR3,NR,Wet,Litter saprotroph,1035,3.017492711,20.83,2.08,0.517,4.25,10.01442308,40.2901354,4.023210832,Restored forest
NR4,NR,Wet,Litter saprotroph,247,0.720116618,20.63,2.09,0.456,4.22,9.870813397,45.24122807,4.583333333,Restored forest
RP1,RP,Wet,Litter saprotroph,466,1.358600583,21.01,2.04,0.439,4.72,10.29901961,47.85876993,4.646924829,Restored forest
RP2,RP,Wet,Litter saprotroph,1428,4.163265306,21.99,2.13,0.446,4.78666,10.32394366,49.30493274,4.775784753,Restored forest
RP3,RP,Wet,Litter saprotroph,444,1.294460641,22.26,2.18,0.466,4.8,10.21100917,47.76824034,4.678111588,Restored forest
RP4,RP,Wet,Litter saprotroph,1117,3.256559767,19.4,2.09,0.483,4.7,9.282296651,40.16563147,4.327122153,Restored forest
MF1,MF,Wet,Litter saprotroph,2596,7.56851312,34.24,3.53,0.703,5.95,9.699716714,48.70554765,5.021337127,Rainforest
MF2,MF,Wet,Litter saprotroph,1841,5.367346939,31.67,3.21,0.538,6.61,9.866043614,58.866171,5.966542751,Rainforest
MF3,MF,Wet,Litter saprotroph,1498,4.367346939,23.78,2.76,0.622,5.32,8.615942029,38.23151125,4.437299035,Rainforest
MF4,MF,Wet,Litter saprotroph,914,2.664723032,41.14,3.97,0.71,6.49,10.3627204,57.94366197,5.591549296,Rainforest
RM1,RM,Dry,Soil saprotroph,4842,14.11661808,20.98,2.08,2.7475,5.346666667,10.08653846,7.636032757,0.757051865,Monoculture
RM2,RM,Dry,Soil saprotroph,5500,16.03498542,16.85,1.71,2.4934,5.22,9.85380117,6.757840699,0.68581054,Monoculture
RM3,RM,Dry,Soil saprotroph,10826,31.56268222,19,1.95,2.68245,5.433333333,9.743589744,7.083077038,0.72694738,Monoculture
RM4,RM,Dry,Soil saprotroph,5162,15.04956268,19.42,1.98,1.1174,5.073333333,9.808080808,17.37963129,1.771970646,Monoculture
NR1,NR,Dry,Soil saprotroph,4398,12.82215743,26.82,2.49,0.63905,4.21,10.77108434,41.96854706,3.896408732,Restored forest
NR2,NR,Dry,Soil saprotroph,5169,15.06997085,25.73,2.45,0.55065,4.3,10.50204082,46.72659584,4.449287206,Restored forest
NR3,NR,Dry,Soil saprotroph,14801,43.1516035,22.78,2.25,0.5507,4.443333333,10.12444444,41.36553477,4.085709098,Restored forest
NR4,NR,Dry,Soil saprotroph,9870,28.7755102,21.43,2.06,0.52565,4.476666667,10.40291262,40.76857224,3.918957481,Restored forest
RP1,RP,Dry,Soil saprotroph,6234,18.17492711,20.04,1.97,0.51615,4.823333333,10.17258883,38.8259227,3.816719946,Restored forest
RP2,RP,Dry,Soil saprotroph,13300,38.7755102,22.07,2.14,0.5012,4.813333333,10.31308411,44.03431764,4.269752594,Restored forest
RP3,RP,Dry,Soil saprotroph,4525,13.19241983,21.76,2.05,0.48735,4.853333333,10.61463415,44.64963579,4.206422489,Restored forest
RP4,RP,Dry,Soil saprotroph,14411,42.01457726,22.18,2.15,0.5534,4.626666667,10.31627907,40.07950849,3.885074087,Restored forest
MF1,MF,Dry,Soil saprotroph,7305,21.29737609,28.04,2.91,0.5943,5.563333333,9.635738832,47.18155814,4.896516911,Rainforest
MF2,MF,Dry,Soil saprotroph,5671,16.5335277,28.83,2.81,0.5519,5.846666667,10.25978648,52.23772423,5.091502084,Rainforest
MF3,MF,Dry,Soil saprotroph,5335,15.55393586,22.94,2.62,0.5901,5.11,8.755725191,38.87476699,4.439925436,Rainforest
MF4,MF,Dry,Soil saprotroph,6428,18.74052478,31.77,3.33,0.68995,5.81,9.540540541,46.04681499,4.826436698,Rainforest
RM1,RM,Wet,Soil saprotroph,8352,24.34985423,16.66,1.78,1.23,5.52,9.359550562,13.54471545,1.447154472,Monoculture
RM2,RM,Wet,Soil saprotroph,13564,39.5451895,18.53,1.85,1.15,4.93,10.01621622,16.11304348,1.608695652,Monoculture
RM3,RM,Wet,Soil saprotroph,13394,39.04956268,21.74,2.17,1.18,5.28666,10.01843318,18.42372881,1.838983051,Monoculture
