OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00005,0,0,0,0,1763,6,0,1,7389,1147,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,460,1240,0,0,0,0
CL00006,0,0,2,0,2265,2444,0,34,4550,0,22,0,7,0,0,0,0,0,0,0,743,1130,18,5,0,1,706,16,0,0,0,0
CL00009,0,0,0,0,45,3,0,18,5381,1844,0,0,93,0,0,0,0,0,0,0,7,9,0,2,2,4,649,2025,0,0,0,0
CL00011,0,0,0,0,6845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00014,0,0,0,0,5864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00016,0,0,0,0,142,3082,0,3,2214,27,3,1,0,0,0,0,0,0,0,0,0,108,0,0,0,0,51,84,0,0,0,0
CL00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6861,0,0,0,0,0
CL00024,0,0,0,0,6,0,0,0,1,0,4872,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
CL00037,0,0,0,0,0,0,0,0,0,0,1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3085,0,0,0,0,0,0
CL00039,0,0,0,0,0,0,0,0,0,0,3855,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CL00040,0,0,0,0,0,0,0,0,0,0,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CL00044,0,0,0,0,0,0,0,2885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,0,0
CL00046,0,0,0,0,0,0,0,0,0,0,0,0,3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00100,0,0,0,0,0,0,0,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0
CL00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,0,0,0,0,0
CL00117,0,0,0,0,2,0,0,0,4,0,1316,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,5,0,0,0,0,0
CL00120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1078,0,0,0,0,13,484,0,0,0,0
CL00122,0,0,0,0,0,0,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
CL00128,0,0,0,0,6,12,0,1,921,4,0,2,93,8,0,0,0,0,0,0,0,2,0,0,0,0,56,0,0,0,0,0
CL00155,0,0,0,0,0,0,0,44,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,1290,1,0,0,0,0,0,0,0
CL00166,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0
CL00168,0,0,0,0,16,16,1,2,0,4,4,0,0,0,0,0,0,0,0,0,44,403,0,0,0,689,6,0,0,0,0,0
CL00179,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,0,3,0,0,0
CL00180,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0
CL00199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0,0,0
CL00242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,8,0,0,850,4,5,0,0,0
CL00261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,3,0,2,0,0,2,2,0,0,0,0
CL00271,0,0,0,0,42,0,0,0,465,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,0
CL00280,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
CL00291,0,0,0,0,44,1,0,0,404,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,8,1,0,0,0,0
CL00299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0
CL00300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,565,0,0,0,0,0,0
CL00304,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
CL00347,0,0,0,0,0,0,0,0,368,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00365,0,0,0,0,0,0,0,4,1,0,0,3,41,4,0,0,0,0,0,0,0,288,0,45,0,0,0,0,77,1,0,0
CL00421,0,0,0,0,13,8,0,0,251,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,8,0,0,0,0,0
CL00424,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0
CL00432,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71,0,0,0,0,0,0
CL00511,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00522,0,0,0,0,25,0,0,0,196,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CL00546,22,0,7,0,0,20,0,6,0,0,0,0,0,0,3,7,16,7,0,0,22,6,70,85,8,5,0,3,0,0,13,0
CL00598,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00625,12,1,50,67,0,0,30,1,2,14,6,5,1,0,11,4,3,2,6,0,4,0,5,1,1,0,0,0,0,0,1,0
CL00639,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00653,0,0,0,0,3,0,0,0,5,0,101,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,71,0,0,0,0,0
CL00665,0,0,2,0,5,1,0,0,110,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,23,0,0,0,0,0
CL00714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,7,0,0,0,0,13,1,0,0
CL00745,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00768,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,7,0,0,0,0
CL00788,0,0,0,0,0,0,0,0,88,0,0,0,16,4,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,5
CL00838,0,0,0,0,0,0,0,0,95,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
CL00898,0,0,12,15,0,10,20,0,0,3,1,19,10,0,2,9,8,0,0,8,0,8,4,0,0,0,0,7,7,0,0,0
CL00917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0
CL00928,3,14,0,6,0,0,0,4,2,0,0,0,0,0,4,10,0,19,28,11,0,2,0,8,4,1,0,0,0,0,39,0
CL00937,0,0,1,13,3,0,18,2,1,1,0,6,0,0,4,1,9,6,14,0,13,6,8,16,0,0,0,8,3,0,15,0
CL00956,10,2,18,46,0,0,0,0,0,2,0,1,4,8,0,2,0,1,8,2,0,0,4,10,0,0,0,6,0,0,8,0
CL01000,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
CL01049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
CL01060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
CL01079,0,0,0,1,8,6,13,23,2,4,0,1,9,0,0,0,0,0,0,0,7,1,1,4,9,20,3,0,2,0,0,0
CL01097,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0
CL01126,0,0,56,4,0,0,0,0,0,0,0,1,0,9,10,0,38,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CL01127,0,0,3,0,0,0,0,0,0,0,0,0,0,43,0,25,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
CL01144,2,2,0,0,0,0,41,2,0,0,2,5,0,0,18,0,0,0,0,0,0,2,0,0,1,3,0,13,0,0,8,0
CL01152,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,26,35,0,0,0,0,17,19,0,0,0,0,0,0,8,0
CL01169,0,1,35,4,1,0,0,1,0,0,0,1,0,0,10,6,32,0,0,2,0,0,10,0,0,0,0,0,1,0,0,0
CL01220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01225,4,0,7,0,0,7,0,1,0,0,0,0,3,0,0,0,0,3,0,0,4,0,30,29,0,0,0,3,0,0,3,0
CL01233,0,0,0,0,0,28,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,4,3,0,0,0,0
CL01262,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
CL01272,0,0,0,0,1,5,2,0,0,49,0,0,0,0,0,0,0,0,0,0,6,1,14,2,4,0,0,5,0,0,0,0
CL01290,0,0,0,0,1,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01301,0,0,0,0,10,9,10,12,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,5,0,0,0,0
CL01314,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,52,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0
CL01326,0,0,0,5,0,0,0,3,0,0,1,1,5,15,0,7,0,3,3,21,0,0,0,14,0,0,5,0,0,0,0,5
CL01331,0,0,0,0,3,0,49,2,0,0,0,0,0,0,18,0,0,0,0,3,0,0,4,0,2,1,0,0,0,0,6,0
