phylum,forest,season,abundance
Basidiomycota,RM,Dry,182.6971425
Ascomycota,RM,Dry,197.5750177
Mortierellomycota,RM,Dry,2.636527348
Unidentified,RM,Dry,10.57193296
Mucoromycota,RM,Dry,1.514043259
Basal lineage,RM,Dry,5.005336208
Basidiomycota,NR,Dry,249.0441252
Ascomycota,NR,Dry,136.9125491
Mortierellomycota,NR,Dry,3.842757253
Unidentified,NR,Dry,5.293712901
Mucoromycota,NR,Dry,1.594560262
Basal lineage,NR,Dry,3.312295242
Basidiomycota,RP,Dry,268.9629331
Ascomycota,RP,Dry,119.2144696
Mortierellomycota,RP,Dry,2.153693972
Unidentified,RP,Dry,4.313482195
Mucoromycota,RP,Dry,1.574999987
Basal lineage,RP,Dry,3.780421108
Basidiomycota,MF,Dry,134.7694108
Ascomycota,MF,Dry,236.3244285
Mortierellomycota,MF,Dry,12.19383865
Unidentified,MF,Dry,6.516240547
Mucoromycota,MF,Dry,1.379873275
Basal lineage,MF,Dry,8.816208222
Basidiomycota,RM,Wet,183.227929
Ascomycota,RM,Wet,183.2192396
Mortierellomycota,RM,Wet,12.12921651
Unidentified,RM,Wet,9.549124624
Mucoromycota,RM,Wet,4.989715643
Basal lineage,RM,Wet,6.884774604
Basidiomycota,NR,Wet,183.6514698
Ascomycota,NR,Wet,198.7513668
Mortierellomycota,NR,Wet,4.363306298
Unidentified,NR,Wet,2.949923369
Mucoromycota,NR,Wet,3.263204277
Basal lineage,NR,Wet,7.020729512
Basidiomycota,RP,Wet,226.2965004
Ascomycota,RP,Wet,153.3874469
Mortierellomycota,RP,Wet,6.684328591
Unidentified,RP,Wet,2.07393873
Mucoromycota,RP,Wet,4.882780624
Basal lineage,RP,Wet,6.675004747
Basidiomycota,MF,Wet,110.3090031
Ascomycota,MF,Wet,252.720546
Mortierellomycota,MF,Wet,22.57525139
Unidentified,MF,Wet,5.320663776
Mucoromycota,MF,Wet,1.826338982
Basal lineage,MF,Wet,7.24819678
