SampleID,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00001,3016,1580,627,1146,3204,2975,9111,6327,3401,5729,2227,3839,3907,839,1595,1191,2092,2305,2031,1821,4151,5054,4384,2885,3692,3251,4329,3545,1166,235,657,144
CL00002,0,0,0,0,2735,10185,0,2606,0,0,0,1,0,0,0,0,0,0,0,0,3708,1969,336,1683,0,0,0,219,0,0,0,0
CL00003,669,329,153,244,706,664,2003,1318,587,995,406,762,840,270,351,348,511,644,618,538,1167,1527,1446,895,1104,947,1230,1018,366,92,178,58
CL00004,135,99,43,160,543,661,2703,4147,261,608,182,462,169,81,446,110,368,304,435,184,1662,2027,1067,1236,1014,466,311,23,74,43,458,22
CL00007,271,697,2,400,43,76,1997,572,500,481,312,461,0,16,32,87,514,543,1412,577,56,264,834,458,358,602,652,1001,61,16,68,48
CL00008,27,166,49,885,1,76,50,476,536,836,170,590,4,52,857,27,791,1049,619,307,3,54,111,321,570,1046,490,2347,118,92,634,36
CL00005,0,0,0,0,1763,6,0,1,7389,1147,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,460,1240,0,0,0,0
CL00006,0,0,2,0,2265,2444,0,34,4550,0,22,0,7,0,0,0,0,0,0,0,743,1130,18,5,0,1,706,16,0,0,0,0
CL00009,0,0,0,0,45,3,0,18,5381,1844,0,0,93,0,0,0,0,0,0,0,7,9,0,2,2,4,649,2025,0,0,0,0
CL00010,0,0,0,0,0,18,77,15,0,130,0,4810,0,0,1,1918,34,482,0,0,112,8,349,483,31,14,12,105,67,0,16,0
CL00013,0,8078,0,0,0,0,0,0,0,0,0,5,0,0,0,0,32,30,0,0,0,0,0,0,132,250,0,0,0,0,0,0
CL00012,46,27,18,223,1,1,232,27,4,371,59,58,6028,7,179,10,62,110,12,43,24,103,13,15,32,75,0,31,0,0,52,2
CL00017,125,447,13,1205,0,1,0,5,107,17,36,21,19,436,286,316,1235,488,921,647,0,4,15,8,48,86,368,34,117,241,239,114
CL00019,49,267,74,576,42,56,62,178,30,93,7,62,0,0,0,0,810,164,2792,939,96,212,16,265,356,89,204,148,0,0,0,0
CL00020,1606,748,0,0,383,221,7,61,13,49,0,1231,0,0,0,0,54,57,75,230,46,3,374,1409,169,33,2,351,0,0,0,0
CL00015,20,0,0,0,48,286,0,2513,72,255,19,410,107,99,28,247,122,15,11,0,316,485,4,534,363,181,299,49,233,212,37,118
CL00038,5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00018,0,0,6878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6861,0,0,0,0,0
CL00011,0,0,0,0,6845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00027,1617,0,126,3996,0,0,0,0,0,0,0,0,0,0,0,0,4,940,78,81,0,0,0,0,0,0,0,0,0,0,0,0
CL00022,12,23,53,49,47,465,14,313,37,488,17,9,0,18,1989,11,112,32,129,61,331,674,455,108,220,9,56,2,12,5,553,29
CL00026,0,0,39,2,90,18,474,421,49,42,22,84,326,206,129,62,97,7,0,12,168,540,916,250,278,161,514,762,78,34,292,35
CL00014,0,0,0,0,5864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00033,0,1491,0,0,0,0,0,0,1,0,142,602,0,0,0,0,16,3162,0,0,0,0,0,0,404,7,29,0,0,0,0,0
CL00016,0,0,0,0,142,3082,0,3,2214,27,3,1,0,0,0,0,0,0,0,0,0,108,0,0,0,0,51,84,0,0,0,0
