OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00001,3016,2273,919,1666,6108,5066,12625,9612,7183,9830,4341,6525,6244,1529,2196,1980,2342,2910,2455,2448,5904,7948,6672,3646,4830,4325,6049,4896,1632,386,923,179
CL00002,0,0,0,0,5145,17607,0,3939,0,0,0,2,0,0,0,0,0,0,0,0,5227,3103,477,2204,0,0,0,308,0,0,0,0
CL00003,669,480,221,326,1363,1120,2744,1962,1233,1679,734,1298,1324,458,513,541,570,798,731,714,1677,2412,2224,1139,1478,1308,1707,1423,484,148,269,84
CL00004,135,130,63,232,1044,1123,3754,6247,495,1048,307,800,272,152,615,191,406,381,540,244,2326,3176,1606,1591,1319,582,449,28,105,66,658,28
CL00005,0,0,0,0,3363,6,0,1,15125,1983,1,0,5,0,0,0,0,0,0,0,0,3,0,0,0,5,651,1709,0,0,0,0
CL00006,0,0,2,0,4316,4290,0,47,9403,0,40,0,12,0,0,0,0,0,0,0,1025,1788,32,7,0,3,960,22,0,0,0,0
CL00007,271,985,2,582,78,125,2715,887,1078,855,569,748,1,28,49,134,567,721,1710,747,83,401,1249,617,475,803,920,1359,79,26,99,58
CL00008,27,245,72,1262,2,125,72,717,1049,1451,295,1011,10,91,1178,54,876,1308,730,400,3,86,165,391,749,1403,664,3189,174,148,885,50
CL00009,0,0,0,0,82,4,0,32,10988,3210,0,0,141,0,0,0,0,0,0,0,12,14,0,2,2,6,910,2750,0,0,0,0
CL00010,0,0,0,0,0,28,88,22,0,234,2,8170,0,0,2,3313,39,608,0,0,166,10,530,641,38,18,16,152,102,0,20,0
CL00011,0,0,0,0,12926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00012,46,41,22,307,2,3,313,49,9,633,89,97,9591,13,239,12,74,148,14,58,31,156,22,15,42,101,0,45,0,0,79,2
CL00013,0,11173,0,0,0,0,0,0,0,0,0,10,0,0,0,0,34,33,0,0,0,0,0,0,159,335,0,0,0,0,0,0
CL00014,0,0,0,0,11032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00015,20,0,0,0,85,503,0,3795,147,436,37,701,165,172,39,428,139,18,14,0,453,754,10,697,459,238,408,74,309,368,51,163
CL00016,0,0,0,0,293,5310,0,3,4458,38,7,2,1,0,0,0,0,0,0,0,1,165,0,0,0,0,75,114,0,0,0,0
CL00017,125,599,15,1680,0,2,0,11,218,27,75,32,30,776,419,512,1390,623,1104,860,0,5,19,10,58,120,512,45,174,391,353,145
CL00018,0,0,9988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00019,49,354,109,832,72,111,91,257,69,161,11,84,0,0,0,0,921,209,3350,1253,134,363,20,347,472,120,299,216,0,0,0,0
CL00020,1606,1069,0,0,708,409,13,92,25,86,0,2110,0,0,0,0,60,67,88,312,55,7,552,1782,208,48,3,478,0,0,0,0
CL00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9665,0,0,0,0,0
CL00022,12,38,75,75,99,775,23,450,72,807,30,18,0,35,2733,20,126,35,145,78,488,1078,704,143,273,12,74,3,16,10,821,41
CL00024,0,0,0,0,8,0,0,0,3,0,9152,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
CL00025,0,0,0,0,0,0,0,0,0,0,8562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0
CL00026,0,3,55,2,143,30,624,627,114,70,44,146,527,361,190,110,107,7,0,20,243,811,1368,322,352,213,703,1020,115,61,420,45
CL00027,1617,0,174,5693,0,0,0,0,0,0,0,0,0,0,0,0,5,1158,98,103,0,0,0,0,0,0,0,0,0,0,0,0
CL00029,38,42,0,1436,16,30,68,127,60,831,34,39,81,253,183,21,300,137,43,192,311,264,2280,242,197,137,88,367,163,95,54,21
CL00030,0,2,0,0,0,0,0,0,0,0,16,4434,0,0,0,0,0,2174,0,0,0,0,0,0,1489,0,1,0,0,0,0,0
CL00032,67,32,0,0,0,0,0,0,0,0,0,0,1115,517,4843,437,319,19,44,0,0,0,0,0,0,0,0,0,227,47,341,25
CL00033,0,2133,0,0,0,0,0,0,3,0,264,995,0,0,0,0,17,3975,0,0,0,0,0,0,523,7,38,0,0,0,0,0
CL00034,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,16,4,0,13,0,35,0,0,0,7754,19,0
CL00035,0,0,0,0,2186,475,4886,116,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00036,0,0,0,0,0,14,949,10,3,0,569,735,0,0,0,0,0,0,0,0,0,0,0,170,1068,3621,3,275,0,0,0,0
CL00037,0,0,0,0,0,0,0,0,0,0,3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4175,0,0,0,0,0,0
CL00038,5088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00039,0,0,0,0,1,0,0,0,3,0,7279,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CL00040,0,0,0,0,0,0,0,0,0,0,6837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CL00041,0,0,0,0,0,0,21,0,0,0,42,0,1541,1077,156,1079,0,0,0,0,0,0,125,0,0,54,46,0,789,546,274,964
CL00042,71,256,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6323,0,0,0,0,0,0,0,0,0,0,7,0
CL00043,23,52,2,75,0,0,0,0,36,0,0,1,58,824,229,453,693,175,109,298,0,0,0,0,12,0,201,0,1435,438,1067,392
CL00044,0,0,0,0,0,0,0,4346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0
CL00045,12,73,0,31,6,0,0,0,37,192,7,53,64,1485,304,1548,140,71,18,5,0,1,0,0,210,0,37,70,305,945,577,176
CL00046,0,0,0,0,0,0,0,0,0,0,0,0,6088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00047,32,22,130,30,44,53,280,49,35,114,54,38,281,1521,166,802,59,26,51,10,66,74,137,49,48,54,35,91,445,742,309,204
CL00048,44,87,27,584,7,127,1,75,93,71,82,29,15,84,314,16,301,489,1147,476,23,588,241,88,90,158,470,33,9,0,236,16
CL00049,109,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,4715,0,0,0,0,0,0,0,0,0,0,0,0,6,0
CL00050,2,1,0,3,33,3,16,90,526,194,51,7,323,1644,195,445,0,3,8,0,12,41,3,36,80,61,319,20,348,278,796,88
CL00051,29,78,77,5154,0,0,0,8,0,0,11,0,0,0,0,0,0,87,11,57,0,0,0,0,0,0,0,0,0,0,0,0
CL00052,0,0,5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00053,0,0,5213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00054,0,0,0,0,813,124,315,0,0,0,0,0,0,0,0,0,0,0,0,0,569,992,2324,0,0,0,0,0,0,0,0,0
CL00055,13,27,7,63,0,0,0,0,0,0,0,0,407,1993,87,826,7,29,47,98,0,0,0,0,0,0,7,0,477,757,140,114
CL00056,0,1,0,4321,0,0,0,0,27,0,17,0,0,0,1,0,92,14,264,199,0,0,0,0,0,0,0,0,75,0,0,0
CL00057,0,328,65,834,0,0,0,0,1164,0,0,0,30,0,52,0,245,472,122,1194,0,0,0,0,0,0,424,0,7,0,29,0
CL00058,0,0,0,0,0,0,0,0,5,0,190,4604,0,0,0,0,0,44,0,0,0,0,0,0,64,0,1,0,0,0,0,0
CL00059,142,95,0,0,48,5,178,0,5,2011,32,0,478,324,80,595,56,49,4,0,0,9,119,4,10,4,0,80,333,2,0,193
CL00060,0,3,0,0,3,24,327,15,0,217,19,5,250,0,3379,37,32,0,0,0,40,27,114,29,0,3,0,7,93,0,208,19
CL00061,2126,1324,0,0,0,0,0,0,0,0,0,12,0,1,0,0,714,223,164,230,0,0,1,2,0,0,0,0,0,0,0,0
CL00062,0,0,0,0,31,27,1328,238,22,23,14,151,0,0,26,1,0,5,0,0,195,363,458,422,709,35,283,342,0,0,0,0
CL00063,0,3,0,17,0,1,0,1,52,13,2,1,75,8,0,4012,0,2,0,0,7,4,56,26,8,0,27,34,202,56,12,27
CL00064,253,367,488,752,54,302,497,233,84,674,72,205,0,0,0,0,13,121,44,23,107,262,0,0,12,50,14,0,0,0,0,0
CL00065,0,539,0,1490,0,0,0,3,18,0,327,977,0,0,0,0,5,512,0,8,0,0,0,37,544,30,71,0,0,0,0,0
CL00066,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4532,0,0,0,0,0,0,0,0,0,0,0
CL00067,69,50,467,118,23,98,10,100,46,26,33,111,0,148,14,98,523,137,240,159,195,102,68,50,358,75,191,0,480,341,44,124
CL00068,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00069,0,0,0,0,1,85,5,0,0,3421,0,0,0,0,0,0,5,0,0,0,252,20,116,79,65,21,0,0,0,0,0,0
CL00070,53,35,53,70,25,26,14,50,39,53,81,38,84,123,42,279,458,50,89,103,199,362,371,208,147,58,122,60,226,323,75,151
CL00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,3986
CL00072,0,0,0,0,50,494,0,28,0,1213,0,0,0,0,0,0,0,0,0,0,230,1,0,1285,0,658,0,0,0,0,0,0
CL00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,5,20,0,0,0,0,0,0,0,3897,0,0
CL00074,0,2,0,5,0,0,1,31,66,1178,7,0,0,413,779,225,39,12,47,11,0,3,0,38,0,19,71,17,175,58,616,83
CL00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3885,0,0
CL00076,0,0,3878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00078,0,0,14,0,0,14,4,0,0,6,1,0,150,207,6,551,27,1,73,44,20,27,645,21,431,13,7,4,645,437,8,506
CL00079,0,0,0,0,0,103,2,0,0,1182,1,0,587,26,25,394,0,0,0,0,30,75,63,0,2,39,0,156,573,73,73,368
CL00080,283,25,0,35,23,24,320,1632,12,31,11,50,0,0,0,0,50,36,182,138,155,103,85,123,65,23,60,202,0,0,0,0
CL00081,0,0,0,0,6,0,0,9,125,9,32,14,51,761,66,1195,0,0,0,2,0,0,0,15,25,148,60,2,133,142,52,754
CL00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3195,10,0,0,0,0,382,0
CL00083,0,3524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0
CL00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462,0,0,0,0,0,0
CL00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3373
CL00086,0,0,0,0,0,0,0,0,7,0,0,2,52,235,250,1603,0,0,0,0,0,0,0,4,3,10,5,2,57,44,258,810
CL00088,0,0,483,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,1955,0,0,0,0,0,0,0,0,0,0,0,0
CL00089,0,0,0,0,0,8,26,0,0,44,0,1776,0,0,0,654,3,174,0,0,69,10,206,213,13,10,4,44,44,0,6,0
CL00091,1505,6,0,0,0,0,0,0,0,0,0,0,163,0,379,508,3,5,0,190,0,0,0,0,0,0,0,0,98,8,359,0
CL00092,2993,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00093,0,0,0,0,0,25,36,40,1,18,0,0,0,0,0,0,0,0,0,0,1281,98,84,92,179,0,0,1331,0,0,0,0
CL00094,44,123,4,367,0,0,0,2,65,7,20,25,4,269,77,141,453,207,376,305,0,4,3,4,22,41,163,26,51,195,131,50
CL00095,0,6,0,33,39,43,160,15,71,226,6,80,223,214,74,695,0,21,0,11,64,33,717,82,18,11,36,0,79,0,100,116
CL00096,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,6,0,0,3109,0,0,0,4
CL00097,1,37,0,2,16,34,318,482,100,58,31,110,0,0,1,0,0,149,3,3,215,236,502,375,241,29,90,80,0,0,1,0
CL00098,2,2,0,103,0,0,6,0,7,1106,296,5,0,0,5,0,19,270,305,10,0,84,41,17,27,654,6,95,0,0,41,0
CL00099,0,0,0,0,0,0,0,0,0,0,0,3098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00100,0,0,0,0,0,0,0,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0
CL00101,0,0,0,0,0,0,0,0,0,0,6,0,300,101,458,114,0,0,0,0,0,0,0,0,0,49,2,0,0,176,1783,77
CL00102,0,0,298,2290,0,0,0,0,0,0,0,0,0,0,0,0,77,3,77,319,0,0,0,0,0,0,0,0,0,0,0,0
CL00103,2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00104,2,2,15,8,0,0,0,0,0,0,0,0,151,311,107,956,158,9,245,139,0,0,0,0,0,0,0,0,238,73,413,198
CL00105,0,0,0,0,2480,40,394,7,0,56,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2985,0,0,0,0,0
CL00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2932
CL00108,7,23,4,2381,0,0,0,0,4,0,0,0,1,0,0,2,1,8,10,356,0,0,0,0,0,0,0,0,0,0,31,0
CL00109,0,0,0,0,2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0
CL00110,0,0,0,0,0,58,0,14,30,112,5,18,97,262,203,164,0,0,0,0,2,5,28,7,58,58,162,346,144,264,474,67
CL00111,11,335,0,94,297,343,226,130,65,34,41,136,0,0,0,0,0,20,5,30,273,143,69,122,10,111,24,0,0,0,0,0
CL00112,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,2289,0,0,0,0,0,0,0,0,0,0,0,209,0
CL00113,0,0,10,0,11,20,19,0,26,15,49,0,26,211,204,171,1,12,17,12,53,110,304,37,43,67,72,2,129,581,22,257
CL00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2478,0,0,0,0,0,0
CL00115,0,24,0,341,0,0,0,0,0,0,0,12,0,0,0,0,11,1415,31,523,0,0,0,0,120,0,0,0,0,0,0,0
CL00116,0,0,0,0,0,0,0,0,0,0,0,2,40,316,13,983,0,0,0,0,0,0,0,0,0,0,0,6,625,262,26,199
CL00117,0,0,0,0,3,0,0,0,9,0,2419,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,6,0,0,0,0,0
CL00118,0,13,1,1349,0,0,0,0,0,0,0,0,1,0,0,0,22,18,48,933,0,0,0,0,0,0,0,0,0,0,33,0
CL00119,0,0,0,0,0,0,0,0,0,0,0,0,2,25,17,41,0,0,0,0,0,0,7,9,0,0,0,0,1864,288,83,60
CL00120,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1685,0,0,0,0,19,635,0,0,0,0
CL00121,0,0,0,1,75,440,12,14,88,247,4,11,0,1,14,0,1,0,4,1,582,396,216,91,99,0,38,1,0,0,4,1
CL00122,0,0,0,0,0,0,0,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
CL00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,0,0,0,0,0,0,4,0,0,0,0,0,0,0
CL00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2199,0
CL00125,0,6,0,28,0,0,0,1,2,4,1997,9,0,0,1,19,18,4,52,11,19,8,0,0,2,7,1,0,0,1,0,0
CL00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2153,0,0,0,0,0,0,0,0,0,0
CL00127,0,0,9,2,0,4,0,0,0,17,8,0,94,455,87,105,5,0,2,4,1,0,0,0,0,0,1,6,411,730,142,60
CL00128,0,0,0,0,9,13,0,2,1848,8,0,2,146,17,0,0,0,0,0,0,1,3,0,0,0,0,73,1,0,0,0,0
CL00129,0,0,0,2,0,4,0,5,7,0,0,23,0,0,29,0,14,0,0,0,6,667,7,45,72,18,1182,23,0,0,1,0
CL00130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,0
